PEKT02000007.1	3118177
PEKT02000002.1	384284
PEKT02000001.1	735362
PEKT02000003.1	244496
PEKT02000008.1	8641
PEKT02000008.1	214755
PEKT02000008.1	214866
PEKT02000008.1	460643
PEKT02000008.1	460644
PEKT02000007.1	632626
PEKT02000007.1	2151440
PEKT02000007.1	3118730
PEKT02000002.1	384284
PEKT02000001.1	743893
PEKT02000008.1	8641
PEKT02000008.1	181956
PEKT02000008.1	214755
PEKT02000008.1	214866
PEKT02000008.1	460558
PEKT02000008.1	460589
PEKT02000008.1	460590
PEKT02000008.1	460592
PEKT02000008.1	460595
PEKT02000008.1	460604
PEKT02000008.1	460613
PEKT02000008.1	460625
PEKT02000008.1	460631
PEKT02000008.1	460636
PEKT02000008.1	460643
PEKT02000008.1	460644
PEKT02000004.1	643318
PEKT02000002.1	384284
PEKT02000008.1	8507
PEKT02000008.1	8518
PEKT02000008.1	8522
PEKT02000008.1	8523
PEKT02000008.1	8641
PEKT02000008.1	214755
PEKT02000008.1	214866
PEKT02000008.1	214905
PEKT02000008.1	460558
PEKT02000008.1	460643
PEKT02000008.1	460644
PEKT02000006.1	444329
PEKT02000006.1	444341
PEKT02000006.1	444342
PEKT02000006.1	444356
PEKT02000007.1	1775373
PEKT02000002.1	384284
PEKT02000008.1	8641
PEKT02000008.1	214755
PEKT02000008.1	214785
PEKT02000008.1	214800
PEKT02000008.1	214806
PEKT02000008.1	214812
PEKT02000008.1	214816
PEKT02000008.1	460558
PEKT02000008.1	460589
PEKT02000008.1	460590
PEKT02000008.1	460604
PEKT02000008.1	460625
PEKT02000008.1	460631
PEKT02000008.1	460636
PEKT02000008.1	460643
PEKT02000008.1	460644
PEKT02000007.1	632626
PEKT02000007.1	3118730
PEKT02000002.1	384284
PEKT02000001.1	743893
PEKT02000008.1	8522
PEKT02000008.1	8523
PEKT02000008.1	8641
PEKT02000008.1	460558
PEKT02000008.1	460643
PEKT02000008.1	460644
PEKT02000004.1	643318
PEKT02000007.1	338419
PEKT02000007.1	632626
PEKT02000007.1	3118730
PEKT02000002.1	384284
PEKT02000001.1	743893
PEKT02000008.1	8641
PEKT02000008.1	214755
PEKT02000008.1	214785
PEKT02000008.1	214800
PEKT02000008.1	460558
PEKT02000008.1	460589
PEKT02000008.1	460590
PEKT02000008.1	460592
PEKT02000008.1	460595
PEKT02000008.1	460604
PEKT02000008.1	460613
PEKT02000008.1	460625
PEKT02000008.1	460631
PEKT02000008.1	460636
PEKT02000008.1	460643
PEKT02000008.1	460644
PEKT02000008.1	627138
PEKT02000004.1	643318
PEKT02000002.1	384284
PEKT02000008.1	8641
PEKT02000008.1	8654
PEKT02000008.1	8662
PEKT02000008.1	214812
PEKT02000008.1	214816
PEKT02000008.1	460558
PEKT02000008.1	504279
PEKT02000004.1	842355
PEKT02000007.1	338419
PEKT02000007.1	1291507
PEKT02000007.1	2183023
PEKT02000007.1	2798953
PEKT02000010.1	216017
PEKT02000010.1	399945
PEKT02000010.1	444677
PEKT02000010.1	474986
PEKT02000002.1	226714
PEKT02000002.1	384284
PEKT02000003.1	111036
PEKT02000003.1	320071
PEKT02000003.1	320072
PEKT02000003.1	320077
PEKT02000003.1	608869
PEKT02000003.1	756918
PEKT02000009.1	174787
PEKT02000008.1	8641
PEKT02000008.1	214755
PEKT02000008.1	214806
PEKT02000008.1	214816
PEKT02000008.1	214866
PEKT02000008.1	214905
PEKT02000008.1	214917
PEKT02000008.1	317208
PEKT02000008.1	352929
PEKT02000008.1	460558
PEKT02000004.1	475640
PEKT02000005.1	229570
